word,valence,arousal,dominance,trust
nerves,0.333,0.783,0.264,0.0
nervous,0.235,0.82,0.213,0.0
nervousness,0.163,0.915,0.241,0.0
nervouswreck,0.112,0.867,0.179,0.0
nervy,0.25,0.83,0.241,0.0
ness,0.396,0.48,0.392,0.0
nest,0.687,0.221,0.333,0.398
nestle,0.625,0.308,0.379,0.367
nestling,0.604,0.427,0.286,0.0
net,0.441,0.288,0.417,0.0
nether,0.24,0.265,0.259,0.0
netting,0.368,0.509,0.585,0.0
nettle,0.406,0.324,0.49,0.0
network,0.531,0.337,0.466,0.0
networking,0.625,0.482,0.545,0.0
neural,0.582,0.426,0.391,0.0
neuralgia,0.092,0.706,0.439,0.0
neurological,0.5,0.54,0.558,0.0
neurologist,0.608,0.5,0.736,0.0
neurology,0.459,0.537,0.58,0.0
neurosis,0.122,0.766,0.418,0.0
neurosurgeon,0.59,0.673,0.755,0.0
neurosurgery,0.49,0.632,0.73,0.0
neurotic,0.198,0.801,0.387,0.0
neuter,0.621,0.163,0.302,0.0
neutral,0.469,0.184,0.357,0.398
neutrality,0.469,0.205,0.434,0.43
neutralize,0.519,0.363,0.719,0.0
neutron,0.469,0.44,0.679,0.0
new,0.917,0.49,0.582,0.0
new age,0.694,0.556,0.727,0.0
newbeginnings,0.802,0.613,0.524,0.0
newborn,0.918,0.58,0.372,0.0
newcomer,0.622,0.38,0.396,0.0
newday,0.847,0.388,0.618,0.0
newfound,0.745,0.741,0.52,0.0
newjob,0.755,0.643,0.729,0.0
newlife,0.898,0.646,0.701,0.0
newly,0.688,0.422,0.552,0.0
newlywed,0.847,0.706,0.57,0.0
newme,0.643,0.55,0.527,0.0
newness,0.74,0.522,0.588,0.0
news,0.633,0.58,0.61,0.0
newscast,0.531,0.509,0.714,0.0
newscaster,0.646,0.51,0.764,0.0
newsflash,0.604,0.637,0.518,0.0
newsletter,0.622,0.385,0.49,0.0
newsman,0.604,0.48,0.696,0.0
newspaper,0.602,0.283,0.444,0.0
newspaperman,0.561,0.458,0.75,0.0
newsreel,0.625,0.571,0.577,0.0
newsroom,0.531,0.392,0.658,0.0
newsstand,0.615,0.222,0.336,0.0
newstart,0.802,0.51,0.667,0.0
newt,0.458,0.38,0.541,0.0
newyear,0.938,0.784,0.52,0.0
nexus,0.496,0.368,0.412,0.0
nib,0.51,0.282,0.406,0.0
nibble,0.551,0.551,0.411,0.0
nice,0.93,0.442,0.65,0.0
niche,0.459,0.413,0.318,0.0
nichts,0.406,0.293,0.404,0.0
nick,0.554,0.388,0.387,0.0
nickel,0.51,0.347,0.406,0.0
nickname,0.49,0.47,0.263,0.0
nicotine,0.235,0.608,0.447,0.0
niece,0.771,0.32,0.4,0.0
nifty,0.74,0.745,0.815,0.0
nigh,0.653,0.216,0.336,0.0
night,0.598,0.396,0.404,0.0
nightcap,0.75,0.196,0.268,0.0
nightclub,0.802,0.894,0.528,0.0
nightfall,0.49,0.436,0.426,0.0
nightgown,0.643,0.408,0.25,0.0
nightie,0.63,0.388,0.274,0.0
nightingale,0.74,0.34,0.496,0.0
nightlife,0.542,0.783,0.51,0.0
nightly,0.673,0.41,0.474,0.0
nightmare,0.005,0.81,0.436,0.0
nightmares,0.082,0.942,0.448,0.0
nightstand,0.49,0.13,0.327,0.0
nightstick,0.5,0.461,0.348,0.0
nighttime,0.735,0.385,0.439,0.0
nihilism,0.367,0.51,0.364,0.0
nil,0.286,0.143,0.157,0.0
nimble,0.833,0.729,0.769,0.0
nimrod,0.327,0.5,0.539,0.0
nincompoop,0.365,0.431,0.368,0.0
nine,0.552,0.255,0.327,0.0
nineteen,0.673,0.304,0.375,0.0
ninety,0.479,0.349,0.436,0.0
ninja,0.542,0.844,0.682,0.0
ninny,0.344,0.343,0.309,0.0
nintendo,0.802,0.571,0.464,0.0
ninth,0.49,0.212,0.396,0.0
nip,0.281,0.7,0.264,0.0
nipper,0.386,0.422,0.317,0.0
nipple,0.48,0.786,0.415,0.0
nippy,0.54,0.5,0.416,0.0
nitrate,0.388,0.406,0.5,0.0
nitro,0.5,0.647,0.639,0.0
nitrogen,0.427,0.435,0.562,0.0
nitrous,0.435,0.561,0.411,0.0
nitwit,0.146,0.606,0.139,0.0
nix,0.33,0.38,0.404,0.0
no anticipation,0.396,0.48,0.341,0.0
no disgust,0.51,0.324,0.448,0.0
no emotion,0.17,0.109,0.225,0.0
no sentiment,0.092,0.382,0.278,0.0
no surprise,0.171,0.224,0.412,0.0
no trust,0.055,0.445,0.257,0.0
nobility,0.844,0.347,0.736,0.523
noble,0.906,0.345,0.61,0.648
nobleman,0.675,0.286,0.709,0.516
nobodycares,0.365,0.41,0.354,0.0
nocomplaints,0.677,0.164,0.491,0.0
nocturnal,0.54,0.5,0.462,0.0
nod,0.59,0.367,0.427,0.0
nodding,0.694,0.294,0.426,0.0
node,0.396,0.343,0.361,0.0
nodular,0.438,0.351,0.411,0.0
nodule,0.312,0.426,0.349,0.0
noggin,0.51,0.433,0.382,0.0
nohope,0.2,0.441,0.385,0.0
noir,0.375,0.394,0.365,0.0
noise,0.26,0.883,0.388,0.0
noisy,0.271,0.812,0.561,0.0
nomad,0.375,0.413,0.433,0.0
nomadic,0.427,0.519,0.422,0.0
nomenclature,0.5,0.222,0.575,0.0
nominal,0.594,0.25,0.463,0.0
nominate,0.615,0.471,0.669,0.0
nomination,0.663,0.637,0.696,0.0
nominee,0.662,0.625,0.765,0.0
nonce,0.422,0.37,0.377,0.0
nonchalant,0.312,0.314,0.366,0.0
noncompliance,0.112,0.598,0.259,0.0
nondescript,0.49,0.434,0.348,0.0
nonexistent,0.208,0.429,0.149,0.0
nonfat,0.604,0.26,0.34,0.0
nonfiction,0.426,0.315,0.431,0.0
nonpayment,0.229,0.51,0.298,0.0
nonresident,0.25,0.34,0.302,0.0
nonsense,0.214,0.531,0.155,0.0
nonsensical,0.173,0.268,0.193,0.0
nonviolent,0.64,0.287,0.346,0.0
noob,0.417,0.43,0.267,0.0
noodle,0.633,0.216,0.225,0.0
nook,0.48,0.321,0.296,0.0
noon,0.531,0.343,0.518,0.0
noose,0.356,0.3,0.33,0.0
nopoint,0.276,0.324,0.314,0.0
noregrets,0.469,0.476,0.426,0.0
norm,0.5,0.245,0.527,0.0
normal,0.74,0.127,0.38,0.0
normalcy,0.805,0.151,0.62,0.0
normality,0.781,0.089,0.444,0.0
north,0.531,0.255,0.45,0.0
northbound,0.604,0.454,0.491,0.0
northeast,0.562,0.26,0.375,0.0
northern,0.57,0.34,0.472,0.0
northwest,0.604,0.345,0.451,0.0
northwestern,0.479,0.306,0.462,0.0
noschool,0.49,0.4,0.38,0.0
nose,0.582,0.27,0.245,0.0
nosebleed,0.153,0.776,0.361,0.0
nosey,0.276,0.655,0.223,0.0
nosnow,0.392,0.394,0.366,0.0
nostalgia,0.417,0.337,0.339,0.0
nostalgic,0.458,0.351,0.184,0.0
nostress,0.531,0.404,0.415,0.0
nostril,0.396,0.404,0.316,0.0
nosun,0.388,0.38,0.351,0.0
nosy,0.292,0.558,0.433,0.0
not negative,0.622,0.27,0.444,0.0
not positive,0.051,0.37,0.236,0.0
notable,0.76,0.45,0.696,0.523
notables,0.594,0.608,0.755,0.0
notably,0.792,0.533,0.689,0.0
notamorningperson,0.469,0.578,0.44,0.0
notary,0.541,0.451,0.676,0.609
notation,0.635,0.38,0.558,0.0
notch,0.459,0.361,0.358,0.0
notched,0.48,0.53,0.356,0.0
note,0.594,0.163,0.416,0.0
notebook,0.449,0.167,0.442,0.0
noted,0.615,0.382,0.464,0.0
noteworthy,0.704,0.481,0.759,0.0
nothappy,0.112,0.32,0.17,0.0
nothingbetter,0.635,0.39,0.543,0.0
nothingness,0.204,0.08,0.161,0.0
notice,0.646,0.408,0.491,0.0
noticeable,0.89,0.562,0.75,0.0
notification,0.604,0.461,0.671,0.0
notify,0.643,0.471,0.573,0.0
notion,0.612,0.284,0.667,0.0
notional,0.52,0.288,0.5,0.0
notoriety,0.552,0.633,0.769,0.0
notorious,0.366,0.582,0.609,0.0
notready,0.133,0.4,0.196,0.0
notwithstanding,0.367,0.316,0.433,0.0
nought,0.312,0.098,0.116,0.0
noun,0.531,0.23,0.477,0.0
nourish,0.878,0.46,0.639,0.0
nourishment,0.786,0.29,0.631,0.0
nouveau,0.633,0.438,0.432,0.0
novel,0.702,0.352,0.439,0.0
novelist,0.34,0.343,0.529,0.0
novelty,0.673,0.521,0.74,0.0
novice,0.429,0.346,0.18,0.0
nowadays,0.68,0.346,0.4,0.0
nowork,0.312,0.264,0.309,0.0
noworries,0.63,0.402,0.5,0.0
noxious,0.177,0.585,0.379,0.0
nozzle,0.438,0.33,0.287,0.0
nuance,0.408,0.282,0.411,0.0
nuances,0.49,0.375,0.527,0.0
nuclear,0.219,0.856,0.781,0.0
nucleus,0.529,0.296,0.667,0.0
nude,0.49,0.915,0.2,0.0
nudge,0.448,0.5,0.509,0.0
nudie,0.5,0.529,0.373,0.0
nudist,0.44,0.796,0.483,0.0
nudity,0.438,0.853,0.415,0.0
nugget,0.602,0.34,0.348,0.0
nuisance,0.198,0.817,0.227,0.0
nuke,0.125,0.905,0.873,0.0
nul,0.337,0.358,0.264,0.0
nullify,0.255,0.373,0.395,0.0
numb,0.108,0.42,0.352,0.0
number,0.406,0.231,0.471,0.0
numbering,0.51,0.363,0.482,0.0
numbers,0.406,0.241,0.44,0.0
numbness,0.306,0.398,0.265,0.0
numbskull,0.3,0.472,0.284,0.0
numeral,0.582,0.254,0.382,0.0
numerator,0.49,0.317,0.526,0.0
numerical,0.479,0.322,0.517,0.0
numerically,0.51,0.337,0.5,0.0
numerous,0.622,0.462,0.609,0.0
nun,0.5,0.15,0.406,0.602
nunchucks,0.337,0.58,0.526,0.0
nunnery,0.653,0.236,0.473,0.0
nuptials,0.771,0.588,0.571,0.0
nurse,0.635,0.578,0.521,0.594
nursemaid,0.615,0.431,0.436,0.0
nursery,0.894,0.406,0.389,0.477
nursing,0.552,0.549,0.653,0.0
nurture,0.745,0.378,0.657,0.703
nut,0.365,0.31,0.25,0.0
nutcase,0.286,0.775,0.259,0.0
nutcracker,0.635,0.378,0.522,0.0
nuthouse,0.347,0.519,0.434,0.0
nutmeg,0.635,0.302,0.35,0.0
nutrition,0.885,0.42,0.579,0.0
nutritional,0.812,0.406,0.676,0.0
nutritious,0.833,0.337,0.655,0.0
nutritive,0.875,0.422,0.667,0.0
nuts,0.594,0.25,0.291,0.0
nutshell,0.458,0.407,0.31,0.0
nutty,0.444,0.317,0.271,0.0
nylon,0.49,0.304,0.295,0.0
nylong,0.439,0.248,0.351,0.0
nylons,0.556,0.379,0.32,0.0
nymph,0.542,0.529,0.472,0.0
nymphomaniac,0.398,0.894,0.536,0.0
oaf,0.344,0.357,0.33,0.0
oak,0.583,0.245,0.536,0.0
oar,0.469,0.392,0.316,0.0
oasis,0.796,0.283,0.429,0.453
oat,0.622,0.17,0.298,0.0
oath,0.543,0.615,0.824,0.781
oatmeal,0.592,0.192,0.241,0.0
obedience,0.765,0.287,0.536,0.539
obedient,0.8,0.179,0.518,0.0
obediently,0.802,0.304,0.577,0.0
obelisk,0.604,0.408,0.596,0.0
obese,0.133,0.427,0.25,0.0
obesity,0.215,0.37,0.328,0.0
obey,0.677,0.433,0.533,0.578
obi,0.469,0.442,0.414,0.0
obit,0.41,0.464,0.393,0.0
obituary,0.188,0.33,0.423,0.0
object,0.531,0.356,0.375,0.0
objection,0.347,0.592,0.709,0.0
objectionable,0.459,0.382,0.558,0.0
objective,0.724,0.337,0.736,0.617
objectivity,0.765,0.431,0.711,0.0
obligation,0.222,0.596,0.718,0.0
obligatory,0.337,0.571,0.78,0.0
oblige,0.281,0.77,0.614,0.461
obliged,0.327,0.68,0.411,0.0
obliging,0.74,0.402,0.545,0.539
obligor,0.302,0.6,0.36,0.0
oblique,0.438,0.347,0.455,0.0
obliterate,0.25,0.539,0.569,0.0
obliterated,0.24,0.469,0.344,0.0
obliteration,0.177,0.622,0.397,0.0
oblivion,0.153,0.33,0.282,0.0
oblivious,0.229,0.388,0.355,0.0
oblong,0.561,0.455,0.37,0.0
obnoxious,0.088,0.602,0.256,0.0
oboe,0.51,0.34,0.392,0.0
obscene,0.05,0.745,0.348,0.0
obscenity,0.083,0.843,0.418,0.0
obscure,0.37,0.551,0.278,0.0
obscured,0.115,0.356,0.298,0.0
obscurity,0.208,0.392,0.38,0.0
observance,0.531,0.315,0.632,0.0
observant,0.74,0.422,0.708,0.0
observation,0.633,0.433,0.667,0.0
observatory,0.643,0.324,0.731,0.0
observe,0.771,0.39,0.36,0.0
observer,0.663,0.363,0.603,0.0
observing,0.583,0.4,0.685,0.0
obsess,0.112,0.846,0.509,0.0
obsessed,0.219,0.84,0.439,0.0
obsessing,0.173,0.773,0.698,0.0
obsession,0.229,0.847,0.571,0.0
obsessive,0.219,0.823,0.48,0.0
obsolescence,0.25,0.431,0.377,0.0
obsolete,0.337,0.321,0.25,0.0
obstacle,0.204,0.708,0.336,0.242
obstetrician,0.521,0.636,0.604,0.516
obstetrics,0.53,0.582,0.564,0.0
obstinate,0.146,0.696,0.562,0.0
obstruct,0.115,0.66,0.458,0.0
obstruction,0.125,0.742,0.491,0.0
obstructive,0.204,0.65,0.613,0.0
obtain,0.76,0.438,0.731,0.0
obtainable,0.677,0.327,0.702,0.0
obtuse,0.281,0.46,0.345,0.0
obverse,0.47,0.394,0.464,0.0
obvious,0.625,0.336,0.585,0.539
ocarina,0.541,0.392,0.366,0.0
occasion,0.7,0.451,0.398,0.0
occasional,0.49,0.298,0.387,0.0
occasionally,0.538,0.24,0.264,0.0
occipital,0.398,0.408,0.518,0.0
occlusion,0.306,0.439,0.442,0.0
occult,0.292,0.382,0.406,0.0
occupancy,0.625,0.471,0.721,0.0
occupant,0.5,0.417,0.483,0.43
occupation,0.562,0.47,0.692,0.0
occupational,0.583,0.469,0.596,0.0
occupied,0.337,0.546,0.441,0.0
occupier,0.427,0.438,0.6,0.0
occupy,0.396,0.52,0.589,0.0
occupying,0.573,0.462,0.519,0.0
occur,0.451,0.561,0.51,0.0
occurrence,0.573,0.69,0.541,0.0
ocd,0.333,0.472,0.37,0.0
ocean,0.823,0.308,0.642,0.0
oceanic,0.74,0.317,0.632,0.0
octagon,0.602,0.349,0.462,0.0
octave,0.438,0.38,0.482,0.0
octopus,0.713,0.378,0.411,0.0
ocular,0.418,0.37,0.4,0.0
odd,0.265,0.337,0.302,0.0
oddball,0.316,0.36,0.357,0.0
oddity,0.312,0.557,0.386,0.0
odds,0.5,0.472,0.68,0.0
ode,0.604,0.269,0.519,0.0
odious,0.235,0.708,0.235,0.0
odometer,0.367,0.47,0.388,0.0
odor,0.337,0.363,0.404,0.0
odyssey,0.622,0.692,0.71,0.0
oedipal,0.312,0.575,0.509,0.0
oestrogen,0.521,0.608,0.561,0.0
oeuvre,0.653,0.484,0.598,0.0
offal,0.302,0.47,0.302,0.0
offence,0.312,0.798,0.446,0.0
offend,0.094,0.804,0.333,0.0
offended,0.188,0.69,0.337,0.0
offender,0.104,0.851,0.537,0.0
offense,0.23,0.765,0.51,0.0
offensive,0.135,0.882,0.6,0.0
offer,0.75,0.745,0.596,0.0
offered,0.582,0.49,0.544,0.0
offering,0.688,0.462,0.585,0.414
offhand,0.388,0.5,0.368,0.0
office,0.427,0.302,0.509,0.0
officer,0.542,0.43,0.877,0.609
offices,0.469,0.312,0.534,0.0
official,0.646,0.565,0.833,0.68
officiate,0.688,0.453,0.704,0.0
offing,0.49,0.412,0.447,0.0
offload,0.479,0.444,0.525,0.0
offset,0.719,0.394,0.704,0.0
offshoot,0.517,0.33,0.361,0.0
offshore,0.417,0.484,0.441,0.0
offside,0.323,0.519,0.443,0.0
offspring,0.656,0.435,0.6,0.0
oft,0.5,0.308,0.474,0.0
oftentimes,0.571,0.5,0.482,0.0
ogre,0.135,0.698,0.51,0.0
ohdear,0.458,0.519,0.442,0.0
ohgod,0.5,0.557,0.439,0.0
ohno,0.396,0.475,0.38,0.0
ohshit,0.23,0.594,0.343,0.0
oil,0.521,0.278,0.306,0.0
oils,0.459,0.229,0.391,0.0
oily,0.276,0.533,0.385,0.0
oink,0.5,0.45,0.289,0.0
ointment,0.438,0.271,0.398,0.0
okra,0.469,0.4,0.362,0.0
olden,0.284,0.213,0.425,0.0
oldie,0.363,0.363,0.342,0.0
oldies,0.438,0.3,0.412,0.0
olfactory,0.602,0.409,0.452,0.0
oligarchy,0.327,0.567,0.741,0.0
olive,0.571,0.231,0.406,0.0
omega,0.529,0.337,0.526,0.0
omelet,0.708,0.323,0.315,0.0
omen,0.39,0.657,0.583,0.0
omgomgomg,0.49,0.551,0.358,0.0
ominous,0.255,0.73,0.51,0.0
omission,0.367,0.333,0.275,0.0
omit,0.33,0.265,0.451,0.0
omitted,0.26,0.235,0.211,0.0
omnibus,0.49,0.41,0.473,0.0
omnipotence,0.667,0.793,0.866,0.0
omnipotent,0.719,0.679,0.919,0.0
omnipresent,0.688,0.452,0.825,0.0
omniscient,0.656,0.334,0.778,0.531
onboard,0.612,0.451,0.491,0.0
oncologist,0.26,0.654,0.64,0.0
oncology,0.204,0.424,0.5,0.0
oncoming,0.594,0.625,0.773,0.0
one,0.542,0.292,0.37,0.0
oneday,0.667,0.245,0.374,0.0
onedge,0.479,0.552,0.4,0.0
onelove,0.816,0.577,0.541,0.0
oneness,0.745,0.272,0.72,0.0
onerous,0.5,0.48,0.462,0.0
oneself,0.66,0.337,0.483,0.0
ongoing,0.674,0.484,0.556,0.0
onion,0.378,0.367,0.382,0.0
onset,0.673,0.497,0.5,0.0
onslaught,0.198,0.939,0.717,0.0
onstage,0.719,0.673,0.583,0.0
ontology,0.51,0.45,0.518,0.0
onus,0.562,0.52,0.769,0.0
onward,0.667,0.538,0.741,0.0
onyx,0.571,0.461,0.38,0.0
oodles,0.49,0.374,0.446,0.0
oomph,0.449,0.613,0.315,0.0
ooze,0.344,0.577,0.333,0.0
oozing,0.238,0.515,0.427,0.0
op,0.48,0.402,0.349,0.0
opacity,0.471,0.251,0.256,0.0
opal,0.623,0.479,0.379,0.0
opaque,0.344,0.265,0.342,0.0
ope,0.375,0.38,0.395,0.0
open,0.62,0.48,0.569,0.0
opener,0.584,0.526,0.377,0.0
opening,0.667,0.51,0.62,0.0
openly,0.603,0.388,0.553,0.594
openness,0.837,0.561,0.667,0.0
opera,0.714,0.5,0.483,0.336
operate,0.582,0.69,0.691,0.0
operatic,0.375,0.452,0.627,0.0
operation,0.475,0.611,0.755,0.445
operational,0.562,0.57,0.679,0.0
operations,0.48,0.549,0.798,0.0
operative,0.541,0.635,0.718,0.0
operator,0.612,0.63,0.726,0.0
ophthalmic,0.427,0.385,0.444,0.0
ophthalmologist,0.552,0.389,0.491,0.0
opiate,0.281,0.594,0.598,0.0
opinion,0.594,0.482,0.638,0.0
opinionated,0.156,0.8,0.491,0.0
opium,0.276,0.49,0.333,0.0
opponent,0.08,0.741,0.716,0.0
opportune,0.796,0.538,0.767,0.0
opportunism,0.571,0.752,0.673,0.0
opportunity,0.938,0.745,0.833,0.0
oppose,0.431,0.8,0.473,0.0
opposed,0.092,0.46,0.606,0.0
opposing,0.188,0.66,0.518,0.0
opposite,0.235,0.545,0.408,0.0
opposites,0.281,0.518,0.462,0.0
opposition,0.135,0.729,0.592,0.0
oppress,0.186,0.654,0.555,0.0
oppressed,0.119,0.64,0.259,0.0
oppression,0.08,0.673,0.615,0.0
oppressive,0.276,0.59,0.667,0.0
oppressor,0.16,0.776,0.629,0.0
ops,0.417,0.55,0.528,0.0
opt,0.51,0.471,0.345,0.0
optic,0.663,0.384,0.594,0.0
optical,0.677,0.311,0.542,0.0
optics,0.562,0.286,0.58,0.0
optimism,0.949,0.565,0.814,0.617
optimist,0.875,0.539,0.787,0.5
optimistic,0.979,0.58,0.821,0.0
optimum,0.892,0.469,0.808,0.0
option,0.512,0.427,0.359,0.0
optional,0.755,0.35,0.44,0.0
optionally,0.365,0.405,0.481,0.0
options,0.622,0.327,0.473,0.0
optometrist,0.446,0.455,0.668,0.0
opulence,0.62,0.615,0.648,0.0
opulent,0.562,0.66,0.66,0.0
opus,0.458,0.368,0.391,0.0
oracle,0.552,0.531,0.67,0.438
oral,0.53,0.448,0.375,0.0
orange,0.646,0.132,0.296,0.0
orange juice,0.719,0.343,0.445,0.0
orangutan,0.43,0.56,0.471,0.0
oration,0.646,0.315,0.683,0.0
orator,0.667,0.375,0.682,0.0
oratory,0.602,0.472,0.693,0.0
orb,0.463,0.37,0.444,0.0
orbit,0.561,0.422,0.575,0.0
orbital,0.458,0.451,0.559,0.0
orbiting,0.52,0.643,0.554,0.0
orbs,0.469,0.355,0.482,0.0
orc,0.24,0.51,0.388,0.0
orchard,0.76,0.269,0.333,0.0
orchestra,0.708,0.5,0.664,0.445
orchid,0.84,0.345,0.382,0.0
ordained,0.735,0.409,0.731,0.641
ordeal,0.344,0.539,0.529,0.0
order,0.78,0.295,0.814,0.0
orderly,0.844,0.24,0.661,0.0
ordinance,0.615,0.452,0.776,0.57
ordinary,0.375,0.312,0.286,0.0
ordination,0.688,0.49,0.765,0.562
ordnance,0.354,0.825,0.679,0.0
ore,0.5,0.333,0.356,0.0
oregano,0.596,0.327,0.25,0.0
organ,0.51,0.469,0.538,0.0
organic,0.719,0.343,0.535,0.0
organism,0.457,0.559,0.8,0.0
organist,0.74,0.469,0.669,0.0
organization,0.81,0.535,0.851,0.516
organize,0.802,0.655,0.781,0.0
organized,0.816,0.337,0.746,0.0
organizer,0.604,0.577,0.846,0.0
orgasm,0.844,0.863,0.676,0.0
orgies,0.388,0.953,0.433,0.0
orgy,0.346,0.962,0.536,0.0
orient,0.667,0.422,0.667,0.0
oriental,0.592,0.409,0.598,0.0
orientation,0.667,0.454,0.686,0.0
orifice,0.448,0.355,0.443,0.0
origami,0.684,0.276,0.294,0.0
origin,0.729,0.435,0.591,0.0
original,0.765,0.48,0.746,0.0
originality,0.898,0.5,0.824,0.0
originate,0.702,0.5,0.866,0.0
origination,0.76,0.443,0.604,0.0
originator,0.592,0.51,0.868,0.0
ornament,0.561,0.373,0.441,0.0
ornamental,0.663,0.392,0.46,0.0
ornamentation,0.663,0.471,0.472,0.0
ornamented,0.677,0.35,0.49,0.0
ornate,0.812,0.356,0.5,0.0
ornery,0.361,0.52,0.509,0.0
orphan,0.133,0.388,0.14,0.0
orphanage,0.184,0.439,0.425,0.0
orphaned,0.062,0.43,0.228,0.0
orthodontist,0.469,0.615,0.564,0.0
orthodox,0.388,0.471,0.647,0.0
orthodoxy,0.271,0.388,0.612,0.445
orthogonal,0.5,0.314,0.54,0.0
orthopedic,0.406,0.346,0.473,0.0
oscillate,0.449,0.58,0.397,0.0
oscillating,0.469,0.548,0.402,0.0
oscillation,0.562,0.433,0.431,0.0
oscillatory,0.375,0.52,0.48,0.0
ostensible,0.542,0.549,0.585,0.0
ostensibly,0.473,0.529,0.509,0.0
ostentatious,0.479,0.794,0.648,0.0
ostracized,0.115,0.69,0.377,0.0
ostrich,0.592,0.382,0.241,0.0
other,0.472,0.23,0.259,0.0
otter,0.439,0.216,0.339,0.0
otto,0.427,0.425,0.404,0.0
ottoman,0.531,0.337,0.444,0.0
ought,0.438,0.511,0.434,0.0
ounce,0.531,0.255,0.288,0.0
oust,0.296,0.716,0.444,0.0
outage,0.306,0.684,0.438,0.0
outback,0.5,0.324,0.43,0.0
outbid,0.594,0.622,0.54,0.0
outboard,0.448,0.491,0.456,0.0
outbreak,0.26,0.632,0.472,0.0
outburst,0.209,0.802,0.528,0.0
outcast,0.153,0.449,0.353,0.0
outcome,0.615,0.472,0.685,0.0
outcry,0.271,0.773,0.718,0.0
outdated,0.167,0.236,0.226,0.0
outdo,0.771,0.75,0.873,0.0
outdoor,0.814,0.256,0.447,0.0
outdoors,0.781,0.444,0.453,0.0
outer,0.552,0.471,0.456,0.0
outfit,0.76,0.49,0.566,0.0
outgoing,0.65,0.472,0.538,0.0
outgrow,0.51,0.529,0.722,0.0
outgrowth,0.771,0.62,0.688,0.0
outhouse,0.281,0.519,0.255,0.0
outing,0.771,0.672,0.634,0.0
outlandish,0.448,0.737,0.657,0.0
outlast,0.62,0.786,0.685,0.0
outlaw,0.255,0.662,0.482,0.0
outlet,0.61,0.396,0.245,0.0
outline,0.542,0.365,0.509,0.0
outlines,0.656,0.402,0.651,0.0
outlive,0.565,0.769,0.724,0.0
outlook,0.83,0.525,0.625,0.0
outlying,0.46,0.562,0.503,0.0
outnumber,0.347,0.615,0.577,0.0
outpatient,0.26,0.4,0.395,0.0
outpost,0.635,0.571,0.675,0.0
outpouring,0.562,0.685,0.552,0.0
output,0.604,0.389,0.434,0.0
outrage,0.06,0.689,0.542,0.0
outraged,0.156,0.696,0.538,0.0
outrageous,0.153,0.945,0.713,0.0
outrank,0.653,0.643,0.817,0.0
outreach,0.54,0.462,0.672,0.0
outright,0.767,0.396,0.755,0.0
outrun,0.531,0.833,0.573,0.0
outset,0.75,0.5,0.582,0.0
outsider,0.398,0.549,0.447,0.0
outskirts,0.474,0.519,0.312,0.0
outsmart,0.673,0.657,0.864,0.0
outspoken,0.582,0.413,0.667,0.0
outstanding,0.898,0.76,0.896,0.0
outstretched,0.448,0.481,0.519,0.0
outward,0.449,0.439,0.365,0.0
outwards,0.44,0.472,0.4,0.0
outweigh,0.486,0.6,0.682,0.0
outwit,0.302,0.755,0.356,0.0
oval,0.417,0.28,0.33,0.0
ovary,0.469,0.399,0.28,0.0
ovate,0.385,0.286,0.368,0.0
ovation,0.719,0.758,0.75,0.0
oven,0.583,0.425,0.606,0.0
overactive,0.667,0.885,0.592,0.0
overall,0.583,0.37,0.67,0.0
overalls,0.5,0.392,0.373,0.0
overbearing,0.323,0.833,0.861,0.0
overburden,0.115,0.755,0.546,0.0
overcast,0.417,0.25,0.475,0.0
overcharged,0.276,0.78,0.569,0.0
overcoat,0.594,0.265,0.43,0.0
overcome,0.719,0.689,0.848,0.0
overcoming,0.842,0.765,0.855,0.0
overcrowded,0.292,0.52,0.491,0.0
overdo,0.156,0.864,0.602,0.0
overdose,0.11,0.82,0.468,0.0
overdrive,0.303,0.715,0.732,0.0
overdue,0.125,0.427,0.259,0.0
overestimate,0.367,0.796,0.444,0.0
overestimated,0.344,0.646,0.527,0.0
overflow,0.398,0.792,0.5,0.0
overflowing,0.439,0.796,0.635,0.0
overgrown,0.333,0.5,0.369,0.0
overgrowth,0.417,0.79,0.673,0.0
overhanging,0.698,0.755,0.812,0.0
overhaul,0.5,0.651,0.491,0.0
overhead,0.344,0.7,0.538,0.0
overhear,0.65,0.365,0.58,0.0
overheated,0.25,0.598,0.547,0.0
overjoyed,0.908,0.708,0.755,0.0
overkill,0.379,0.861,0.678,0.0
overlaid,0.62,0.61,0.676,0.0
overlap,0.594,0.615,0.627,0.0
overlapping,0.595,0.578,0.684,0.0
overlay,0.564,0.596,0.749,0.0
overload,0.381,0.69,0.652,0.0
overlook,0.292,0.418,0.415,0.0
overlord,0.75,0.755,0.932,0.0
overlying,0.5,0.519,0.691,0.0
overpaid,0.429,0.67,0.585,0.0
overpass,0.562,0.561,0.565,0.0
overplayed,0.224,0.798,0.586,0.0
overpower,0.448,0.859,0.783,0.0
overpowering,0.392,0.779,0.589,0.0
overpriced,0.271,0.556,0.472,0.0
overprotective,0.448,0.673,0.741,0.0
overrated,0.312,0.63,0.482,0.0
overreact,0.306,0.912,0.471,0.0
override,0.316,0.491,0.529,0.0
overriding,0.24,0.49,0.384,0.0
overrule,0.224,0.412,0.429,0.0
overrun,0.271,0.764,0.598,0.0
oversee,0.541,0.649,0.778,0.0
overseer,0.552,0.52,0.873,0.0
overshadow,0.333,0.549,0.654,0.0
oversight,0.385,0.618,0.723,0.0
